Class: person, Confidence: 0.93, BBox: (24, 173, 521, 479)
Class: chair, Confidence: 0.27, BBox: (339, 262, 551, 479)
Class: book, Confidence: 0.26, BBox: (543, 235, 617, 252)
Class: person, Confidence: 0.92, BBox: (30, 173, 528, 479)
Class: chair, Confidence: 0.35, BBox: (337, 263, 549, 479)
Class: person, Confidence: 0.92, BBox: (26, 173, 527, 479)
Class: book, Confidence: 0.28, BBox: (543, 235, 618, 252)
Class: person, Confidence: 0.93, BBox: (27, 173, 521, 479)
Class: bottle, Confidence: 0.48, BBox: (21, 439, 51, 479)
Class: chair, Confidence: 0.43, BBox: (338, 263, 551, 479)
Class: person, Confidence: 0.93, BBox: (29, 173, 526, 479)
Class: chair, Confidence: 0.41, BBox: (341, 263, 551, 479)
Class: person, Confidence: 0.92, BBox: (35, 173, 525, 479)
Class: chair, Confidence: 0.30, BBox: (345, 262, 550, 479)
Class: person, Confidence: 0.92, BBox: (31, 173, 530, 479)
Class: chair, Confidence: 0.35, BBox: (341, 262, 550, 479)
Class: person, Confidence: 0.93, BBox: (39, 172, 523, 479)
Class: chair, Confidence: 0.33, BBox: (341, 263, 551, 479)
Class: person, Confidence: 0.92, BBox: (36, 173, 525, 479)
Class: person, Confidence: 0.92, BBox: (39, 173, 523, 479)
Class: chair, Confidence: 0.36, BBox: (335, 263, 550, 479)
Class: book, Confidence: 0.30, BBox: (538, 234, 617, 252)
Class: person, Confidence: 0.93, BBox: (31, 172, 524, 479)
Class: person, Confidence: 0.93, BBox: (33, 174, 530, 479)
Class: person, Confidence: 0.93, BBox: (38, 173, 524, 479)
Class: person, Confidence: 0.93, BBox: (35, 173, 530, 479)
Class: person, Confidence: 0.93, BBox: (31, 173, 525, 479)
Class: person, Confidence: 0.94, BBox: (33, 173, 530, 479)
Class: book, Confidence: 0.26, BBox: (540, 236, 617, 252)
Class: person, Confidence: 0.94, BBox: (29, 173, 526, 479)
Class: chair, Confidence: 0.27, BBox: (337, 262, 550, 479)
Class: person, Confidence: 0.94, BBox: (32, 171, 523, 479)
Class: chair, Confidence: 0.40, BBox: (338, 262, 552, 479)
Class: book, Confidence: 0.28, BBox: (535, 249, 623, 273)
Class: book, Confidence: 0.25, BBox: (539, 235, 617, 251)
Class: person, Confidence: 0.94, BBox: (23, 171, 528, 479)
Class: chair, Confidence: 0.31, BBox: (337, 261, 558, 479)
Class: person, Confidence: 0.93, BBox: (25, 171, 526, 479)
Class: chair, Confidence: 0.29, BBox: (338, 262, 552, 479)
Class: person, Confidence: 0.93, BBox: (28, 171, 525, 479)
Class: person, Confidence: 0.94, BBox: (29, 170, 527, 479)
Class: chair, Confidence: 0.26, BBox: (335, 259, 552, 479)
Class: person, Confidence: 0.93, BBox: (24, 170, 529, 479)
Class: book, Confidence: 0.27, BBox: (539, 235, 617, 252)
Class: person, Confidence: 0.93, BBox: (21, 170, 521, 479)
Class: chair, Confidence: 0.42, BBox: (343, 261, 556, 479)
Class: person, Confidence: 0.93, BBox: (26, 167, 521, 479)
Class: chair, Confidence: 0.42, BBox: (344, 260, 555, 479)
Class: book, Confidence: 0.27, BBox: (533, 234, 621, 251)
Class: book, Confidence: 0.26, BBox: (533, 240, 622, 266)
Class: person, Confidence: 0.93, BBox: (26, 167, 523, 479)
Class: chair, Confidence: 0.36, BBox: (335, 260, 558, 479)
Class: person, Confidence: 0.92, BBox: (24, 168, 521, 479)
